lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.005,2022-11-13 18:14:26.805826,,,,,,,,,,,,,,
,2022-11-13 18:14:27.714988,0.011886772699654102,5.781485378975049e-05,0.011886772699654102,49.0,0.0,,,,,,,,,
0.005,2022-11-13 18:15:14.254775,,,,,,,,,,,,,,
,2022-11-13 18:15:15.228421,0.03763459622859955,0.00015089267981238663,0.03763459622859955,99.0,0.0,,,,,,,,,
0.005,2022-11-13 18:16:03.452684,,,,,,,,,,,,,,
,2022-11-13 18:16:04.411998,0.014450035989284515,6.869692879263312e-05,0.014450035989284515,149.0,0.0,,,,,,,,,
0.005,2022-11-13 18:16:52.428173,,,,,,,,,,,,,,
,2022-11-13 18:16:53.409088,0.33748170733451843,0.0017951683839783072,0.33748170733451843,199.0,0.0,,,,,,,,,
0.005,2022-11-13 18:17:41.516774,,,,,,,,,,,,,,
,2022-11-13 18:17:42.486822,0.004021862521767616,2.244232928205747e-05,0.004021862521767616,249.0,0.0,,,,,,,,,
0.005,2022-11-13 18:18:30.361892,,,,,,,,,,,,,,
,2022-11-13 18:18:31.343209,0.009840033948421478,4.841185000259429e-05,0.009840033948421478,299.0,0.0,,,,,,,,,
,2022-11-13 18:18:38.058413,,,,,0.0,0.05643776059150696,0.0002078715042443946,0.05643776059150696,0.12285846471786499,0.0004652568604797125,0.12285846471786499,,,
,2022-11-13 18:18:38.155082,,,,,0.0,,,,,,,0.15662837028503418,0.0018278630450367928,0.15662837028503418
0.005,2022-11-13 18:19:29.377104,,,,,,,,,,,,,,
,2022-11-13 18:19:30.375972,0.131043940782547,0.00043097720481455326,0.131043940782547,349.0,1.0,,,,,,,,,
0.005,2022-11-13 18:20:18.217115,,,,,,,,,,,,,,
,2022-11-13 18:20:19.194512,0.1681065559387207,0.0005574073293246329,0.1681065559387207,399.0,1.0,,,,,,,,,
0.005,2022-11-13 18:21:07.434682,,,,,,,,,,,,,,
,2022-11-13 18:21:08.405345,0.13570739328861237,0.0004467060207389295,0.13570739328861237,449.0,1.0,,,,,,,,,
0.005,2022-11-13 18:21:56.440891,,,,,,,,,,,,,,
,2022-11-13 18:22:56.062468,0.02770192176103592,0.00011763947986764833,0.02770192176103592,499.0,1.0,,,,,,,,,
0.005,2022-11-13 18:23:44.269987,,,,,,,,,,,,,,
,2022-11-13 18:23:45.249316,0.2525705397129059,0.0010064607486128807,0.2525705397129059,549.0,1.0,,,,,,,,,
0.005,2022-11-13 18:24:33.278269,,,,,,,,,,,,,,
,2022-11-13 18:24:34.246564,0.00768789928406477,4.0188100683735684e-05,0.00768789928406477,599.0,1.0,,,,,,,,,
,2022-11-13 18:24:39.884161,,,,,1.0,0.2366485446691513,0.0010523413075134158,0.2366485446691513,0.0715680792927742,0.00025158931384794414,0.0715680792927742,,,
,2022-11-13 18:24:39.981446,,,,,1.0,,,,,,,0.17184539139270782,0.0015253578312695026,0.17184539139270782
0.005,2022-11-13 18:25:30.524373,,,,,,,,,,,,,,
,2022-11-13 18:25:31.506806,0.05445382371544838,0.0001991778117371723,0.05445382371544838,649.0,2.0,,,,,,,,,
0.005,2022-11-13 18:26:19.451569,,,,,,,,,,,,,,
,2022-11-13 18:26:20.427217,0.09598162770271301,0.0003287743020337075,0.09598162770271301,699.0,2.0,,,,,,,,,
0.005,2022-11-13 18:27:08.649344,,,,,,,,,,,,,,
,2022-11-13 18:27:09.629945,0.267185777425766,0.0010907140094786882,0.267185777425766,749.0,2.0,,,,,,,,,
0.005,2022-11-13 18:27:57.745760,,,,,,,,,,,,,,
,2022-11-13 18:27:58.720339,0.5592583417892456,0.008908165618777275,0.5592583417892456,799.0,2.0,,,,,,,,,
0.005,2022-11-13 18:28:46.781634,,,,,,,,,,,,,,
,2022-11-13 18:28:47.761869,0.003349345875903964,1.9462169802864082e-05,0.003349345875903964,849.0,2.0,,,,,,,,,
0.005,2022-11-13 18:29:35.727400,,,,,,,,,,,,,,
,2022-11-13 18:29:36.699352,0.09535618871450424,0.00032685286714695394,0.09535618871450424,899.0,2.0,,,,,,,,,
,2022-11-13 18:29:42.338248,,,,,2.0,0.1557779461145401,0.000798397755715996,0.1557779461145401,0.3926621377468109,0.028216786682605743,0.3926621377468109,,,
,2022-11-13 18:29:42.435742,,,,,2.0,,,,,,,0.17092850804328918,0.0036749879363924265,0.17092850804328918
0.005,2022-11-13 18:30:33.036975,,,,,,,,,,,,,,
,2022-11-13 18:30:34.011264,0.5448779463768005,0.007703256793320179,0.5448779463768005,949.0,3.0,,,,,,,,,
0.005,2022-11-13 18:31:21.987130,,,,,,,,,,,,,,
,2022-11-13 18:32:15.008450,0.004296019207686186,2.5289011318818666e-05,0.004296019207686186,999.0,3.0,,,,,,,,,
0.005,2022-11-13 18:33:03.209659,,,,,,,,,,,,,,
,2022-11-13 18:33:04.193003,0.11246294528245926,0.0003743363486137241,0.11246294528245926,1049.0,3.0,,,,,,,,,
0.005,2022-11-13 18:33:52.399000,,,,,,,,,,,,,,
